par,rounded,optim
g_0,2.2,2.15596479277814
E_e,10,10
E_K,89,89.3611612401252
E_m,10,10
E_r,95,95.2093103910086
E_V,87,86.7103252164185
f_CD,9.2E-05,9.246617528484E-05
f_CE,0.00061,0.000609483682819
f_CM,0.071,0.070927676258725
f_ug,0.694,0.69395029076193
f_ge,0.0248,0.024794889641181
K_D_ref,50,49.8135291469327
n,2.3,2.29329755139984
m,1.2,1.19033434919292
pd,2700,2700
psi_fc,33,33
Dth,0.063,0.06327
R,0.008314,0.008314
r_ed_ref,0.0005,0.00049972029908
r_md_ref,0.0015,0.001540407801218
r_mr_ref,4.2E-05,4.24010281077612E-05
T_ref,293,293.15
V_D_ref,0.35,0.351595749508889
V_U_ref,0.092,0.091736977310536
hour,3600,3600
sec,1,1
K_U_ref,1,1.02770949718836
